ST_ID,LATITUDE,LONGITUDE
573,55.6310,37.6273
574,55.5927,37.6539
575,55.6539,37.6222
576,55.6820,37.6210
577,55.7059,37.6580
578,55.7175,37.6433
579,55.7294,37.6407
580,55.7395,37.7947
581,55.7334,37.7631
582,55.7334,37.7296
583,55.7482,37.6823
584,55.7445,37.8194
585,55.7358,37.7643
586,55.7307,37.7744
587,55.7223,37.7985
588,55.7163,37.8166
589,55.7058,37.8477
590,55.6986,37.8645
591,55.7504,37.7217
592,55.7445,37.7408
593,55.7789,37.6777
594,55.7737,37.6567
595,55.7811,37.7051
596,55.7637,37.7207
597,55.7856,37.6706
598,55.7925,37.6439
599,55.6825,37.8966
600,55.6687,37.9234
601,55.6553,37.9547
602,55.6500,37.9823
603,55.6454,38.0081
604,55.6347,38.0444
605,55.6726,37.9328
607,55.6739,37.9026
608,55.6536,37.8596
609,55.6306,37.8413
610,55.6647,38.0338
611,55.6557,38.0681
612,55.6479,38.1120
613,55.6386,38.1749
614,55.6370,38.2017
615,55.6360,38.2751
616,55.6287,38.3135
617,55.6282,38.3523
618,55.6252,38.3901
619,55.6091,38.4464
620,55.6038,38.5048
621,55.6038,38.5457
622,55.5995,38.6103
623,55.5900,38.6923
624,55.5817,38.7555
625,55.5720,38.8234
626,55.6147,38.4137
627,55.6266,38.0715
628,55.6163,38.1007
629,55.6017,38.1365
630,55.5921,38.1601
632,55.5729,38.2068
633,55.5653,38.2260
634,59.1855,52.3293
635,59.3460,52.2252
636,59.4203,52.3550
637,59.4939,52.4545
638,59.5364,52.4509
639,59.5950,52.4456
640,59.7865,52.1446
641,58.1759,52.3478
642,58.1564,52.5082
643,58.1524,52.4617
644,58.1593,52.4228
645,58.1324,52.6696
646,58.1027,52.8376
647,58.0559,52.9296
648,58.1132,52.7689
649,58.0844,52.8924
650,58.0256,52.9517
651,57.8358,53.1792
652,57.8783,53.1718
653,57.8728,53.2735
654,57.8631,53.3276
655,57.0069,51.3165
656,56.9805,51.3715
657,56.9122,51.5796
658,56.8734,51.6606
659,56.8609,51.7641
660,56.4467,52.2016
661,56.8860,52.0321
662,56.9177,52.0759
663,56.9890,52.1801
664,56.9762,52.2919
665,56.9832,52.3871
666,56.9790,52.4883
667,56.9902,52.5799
668,56.9752,52.7057
669,56.9697,52.8055
670,56.9674,52.8731
671,56.9626,53.0113
672,57.0037,52.9722
673,57.0268,52.9171
674,57.1160,52.9667
675,57.1818,52.9973
676,57.2555,53.0113
677,57.2957,53.0194
678,57.3608,53.0147
679,57.4530,53.1022
680,57.5583,53.0500
681,57.6268,53.0988
682,57.7220,53.0903
683,57.7795,53.2194
684,57.8497,53.3101
685,59.2904,52.3046
686,61.2449,46.8792
687,61.2398,46.9491
